Timestamp,Joint,PosX,PosY,PosZ,VelX,VelY,VelZ,AccelX,AccelY,AccelZ,JointAngle
0,LeftFinger1Metacarpal,-0.71,1.31,0.01,-35.44,65.36,0.36,-1771.86,3268.08,17.76,0.00
0,LeftFinger1Proximal,-0.74,1.31,0.03,-37.02,65.36,1.27,-1851.03,3268.08,63.47,23.33
0,LeftFinger1Distal,-0.77,1.31,0.03,-38.41,65.36,1.27,-1920.41,3268.08,63.47,30.00
0,LeftFinger1Tip,-0.80,1.31,0.03,-39.99,65.36,1.27,-1999.68,3268.08,63.47,0.00
0,LeftFinger2Metacarpal,-0.71,1.31,0.00,-35.70,65.36,-0.19,-1784.96,3268.08,-9.51,161.23
0,LeftFinger2Proximal,-0.76,1.31,0.01,-38.20,65.36,0.25,-1910.18,3268.08,12.57,21.30
0,LeftFinger2Medial,-0.81,1.31,0.01,-40.32,65.36,0.25,-2015.88,3268.08,12.57,10.00
0,LeftFinger2Distal,-0.83,1.31,0.01,-41.62,65.36,0.25,-2080.90,3268.08,12.57,0.00
0,LeftFinger2Tip,-0.86,1.31,0.01,-42.89,65.36,0.25,-2144.62,3268.08,12.57,0.00
0,LeftFinger3Metacarpal,-0.72,1.31,-0.01,-35.76,65.36,-0.68,-1787.77,3268.08,-33.95,172.57
0,LeftFinger3Proximal,-0.76,1.31,-0.01,-38.23,65.36,-0.68,-1911.63,3268.08,-33.95,11.33
0,LeftFinger3Medial,-0.81,1.31,-0.01,-40.40,65.36,-0.68,-2020.13,3268.08,-33.95,0.00
0,LeftFinger3Distal,-0.84,1.31,-0.01,-41.83,65.36,-0.68,-2091.70,3268.08,-33.95,0.00
0,LeftFinger3Tip,-0.86,1.31,-0.01,-43.22,65.36,-0.68,-2160.91,3268.08,-33.95,0.00
0,LeftFinger4Metacarpal,-0.71,1.31,-0.02,-35.74,65.36,-1.18,-1787.21,3268.08,-59.17,176.14
0,LeftFinger4Proximal,-0.76,1.31,-0.03,-38.08,65.36,-1.60,-1904.02,3268.07,-79.77,2.47
0,LeftFinger4Medial,-0.80,1.31,-0.03,-40.11,65.36,-1.60,-2005.37,3268.07,-79.77,10.00
0,LeftFinger4Distal,-0.83,1.31,-0.03,-41.41,65.36,-1.60,-2070.73,3268.07,-79.77,0.00
0,LeftFinger4Tip,-0.85,1.31,-0.03,-42.69,65.36,-1.60,-2134.36,3268.08,-79.77,0.00
0,LeftFinger5Metacarpal,-0.71,1.31,-0.03,-35.63,65.36,-1.62,-1781.32,3268.08,-80.87,179.82
0,LeftFinger5Proximal,-0.75,1.31,-0.05,-37.72,65.36,-2.38,-1885.82,3268.08,-118.91,11.06
0,LeftFinger5Medial,-0.79,1.31,-0.05,-39.36,65.36,-2.38,-1967.83,3268.07,-118.91,20.00
0,LeftFinger5Distal,-0.81,1.31,-0.05,-40.39,65.36,-2.38,-2019.37,3268.08,-118.91,0.00
0,LeftFinger5Tip,-0.83,1.31,-0.05,-41.44,65.36,-2.38,-2071.88,3268.08,-118.91,0.00
0.02,LeftFinger1Metacarpal,-0.21,0.80,0.06,24.79,-25.45,2.83,3011.41,-4540.47,123.67,0.00
0.02,LeftFinger1Proximal,-0.18,0.78,0.08,27.89,-26.20,2.62,3245.29,-4578.18,67.29,66.37
0.02,LeftFinger1Distal,-0.18,0.76,0.09,29.61,-27.48,3.04,3400.80,-4642.08,88.53,45.85
0.02,LeftFinger1Tip,-0.17,0.73,0.09,31.57,-29.01,3.21,3578.30,-4718.57,97.14,11.61
0.02,LeftFinger2Metacarpal,-0.21,0.79,0.06,25.15,-25.87,2.95,3042.28,-4561.75,157.22,153.41
0.02,LeftFinger2Proximal,-0.21,0.75,0.08,27.56,-28.03,3.86,3288.41,-4669.53,180.40,18.56
0.02,LeftFinger2Medial,-0.18,0.72,0.09,31.32,-29.32,4.19,3581.92,-4733.97,196.94,55.02
0.02,LeftFinger2Distal,-0.15,0.72,0.09,33.91,-29.47,4.17,3776.55,-4741.50,195.77,32.91
0.02,LeftFinger2Tip,-0.13,0.72,0.09,36.42,-29.15,4.05,3965.44,-4725.59,190.18,21.51
0.02,LeftFinger3Metacarpal,-0.21,0.79,0.05,25.29,-26.09,3.01,3052.06,-4572.40,184.32,122.59
0.02,LeftFinger3Proximal,-0.21,0.74,0.06,27.77,-28.42,3.83,3300.21,-4689.21,225.51,11.33
0.02,LeftFinger3Medial,-0.18,0.71,0.07,31.44,-29.97,4.08,3592.10,-4766.71,238.12,44.38
0.02,LeftFinger3Distal,-0.15,0.71,0.07,34.30,-30.08,4.14,3806.56,-4771.88,240.72,41.95
0.02,LeftFinger3Tip,-0.13,0.72,0.07,36.95,-29.54,4.02,4008.62,-4745.22,235.08,27.69
0.02,LeftFinger4Metacarpal,-0.21,0.78,0.04,25.36,-26.24,3.04,3055.20,-4580.12,211.12,115.88
0.02,LeftFinger4Proximal,-0.20,0.74,0.04,27.91,-28.58,3.75,3299.74,-4697.26,267.38,1.71
0.02,LeftFinger4Medial,-0.17,0.71,0.04,31.39,-29.99,3.84,3575.08,-4767.78,271.88,40.64
0.02,LeftFinger4Distal,-0.15,0.71,0.05,34.00,-30.03,4.02,3770.54,-4769.36,280.74,42.87
0.02,LeftFinger4Tip,-0.13,0.72,0.05,36.39,-29.45,4.17,3954.05,-4740.54,288.26,28.32
0.02,LeftFinger5Metacarpal,-0.21,0.78,0.03,25.32,-26.27,3.03,3047.08,-4581.66,232.39,115.35
0.02,LeftFinger5Proximal,-0.20,0.74,0.02,27.83,-28.45,3.61,3277.45,-4690.41,299.25,7.06
0.02,LeftFinger5Medial,-0.18,0.71,0.02,30.49,-29.73,3.45,3492.12,-4754.42,291.44,27.13
0.02,LeftFinger5Distal,-0.16,0.71,0.03,32.50,-29.97,3.64,3644.34,-4766.68,301.11,40.86
0.02,LeftFinger5Tip,-0.14,0.71,0.03,34.52,-29.74,3.97,3797.93,-4755.05,317.28,27.49
0.3533334,LeftFinger1Metacarpal,-0.21,0.80,0.06,0.00,0.00,-0.01,-74.37,76.34,-8.50,0.00
0.3533334,LeftFinger1Proximal,-0.18,0.78,0.08,0.00,0.00,-0.01,-83.65,78.61,-7.86,66.36
0.3533334,LeftFinger1Distal,-0.18,0.76,0.08,0.00,0.00,-0.01,-88.82,82.44,-9.14,45.85
0.3533334,LeftFinger1Tip,-0.17,0.73,0.09,0.00,0.00,-0.01,-94.71,87.03,-9.65,11.63
0.3533334,LeftFinger2Metacarpal,-0.21,0.79,0.05,0.00,0.00,-0.01,-75.43,77.62,-8.88,153.39
0.3533334,LeftFinger2Proximal,-0.21,0.75,0.08,0.00,0.00,-0.01,-82.69,84.09,-11.60,18.56
0.3533334,LeftFinger2Medial,-0.18,0.72,0.09,0.00,0.00,-0.01,-93.96,87.95,-12.59,54.97
0.3533334,LeftFinger2Distal,-0.15,0.72,0.09,0.00,0.00,-0.01,-101.73,88.40,-12.52,32.95
0.3533334,LeftFinger2Tip,-0.13,0.72,0.08,0.00,0.00,0.00,-109.25,87.45,-12.18,21.54
0.3533334,LeftFinger3Metacarpal,-0.21,0.79,0.04,0.00,0.00,-0.01,-75.85,78.26,-9.04,122.54
0.3533334,LeftFinger3Proximal,-0.21,0.74,0.06,0.00,0.00,-0.01,-83.31,85.27,-11.51,11.33
0.3533334,LeftFinger3Medial,-0.18,0.71,0.07,0.00,0.00,-0.01,-94.31,89.92,-12.27,44.29
0.3533334,LeftFinger3Distal,-0.15,0.71,0.07,0.00,0.00,-0.01,-102.89,90.23,-12.42,41.94
0.3533334,LeftFinger3Tip,-0.12,0.72,0.07,0.00,0.00,0.00,-110.86,88.63,-12.08,27.69
0.3533334,LeftFinger4Metacarpal,-0.21,0.78,0.04,0.00,0.00,-0.01,-76.07,78.72,-9.13,115.89
0.3533334,LeftFinger4Proximal,-0.20,0.74,0.04,0.00,0.00,-0.01,-83.74,85.75,-11.27,1.71
0.3533334,LeftFinger4Medial,-0.17,0.71,0.04,0.00,0.00,-0.01,-94.18,89.98,-11.54,40.59
0.3533334,LeftFinger4Distal,-0.15,0.71,0.05,0.00,0.00,-0.01,-101.98,90.08,-12.07,42.96
0.3533334,LeftFinger4Tip,-0.13,0.72,0.05,0.00,0.00,-0.01,-109.18,88.35,-12.52,28.34
0.3533334,LeftFinger5Metacarpal,-0.21,0.78,0.03,0.00,0.00,-0.01,-75.94,78.81,-9.11,115.27
0.3533334,LeftFinger5Proximal,-0.20,0.74,0.02,0.00,0.00,-0.01,-83.49,85.34,-10.84,7.06
0.3533334,LeftFinger5Medial,-0.18,0.71,0.02,0.00,0.00,-0.01,-91.45,89.18,-10.37,27.11
0.3533334,LeftFinger5Distal,-0.16,0.71,0.02,0.00,0.00,-0.01,-97.49,89.92,-10.95,40.99
0.3533334,LeftFinger5Tip,-0.14,0.71,0.03,0.00,0.00,-0.01,-103.56,89.22,-11.92,27.45
0.4408194,LeftFinger1Metacarpal,-0.21,0.80,0.04,0.01,-0.02,-0.23,0.12,-0.27,-2.62,0.00
0.4408194,LeftFinger1Proximal,-0.18,0.78,0.05,0.01,-0.03,-0.24,0.15,-0.31,-2.73,66.35
0.4408194,LeftFinger1Distal,-0.17,0.75,0.06,0.02,-0.03,-0.26,0.18,-0.36,-2.89,46.05
0.4408194,LeftFinger1Tip,-0.17,0.72,0.06,0.02,-0.03,-0.28,0.21,-0.37,-3.09,11.70
0.4408194,LeftFinger2Metacarpal,-0.21,0.79,0.03,0.01,-0.02,-0.24,0.14,-0.20,-2.68,153.37
0.4408194,LeftFinger2Proximal,-0.21,0.74,0.06,0.02,-0.03,-0.27,0.22,-0.39,-2.99,18.56
0.4408194,LeftFinger2Medial,-0.18,0.72,0.06,0.03,-0.03,-0.29,0.28,-0.36,-3.20,55.21
0.4408194,LeftFinger2Distal,-0.15,0.72,0.06,0.03,-0.03,-0.29,0.28,-0.33,-3.24,32.51
0.4408194,LeftFinger2Tip,-0.13,0.72,0.06,0.03,-0.03,-0.29,0.27,-0.28,-3.21,21.65
0.4408194,LeftFinger3Metacarpal,-0.21,0.78,0.02,0.01,-0.01,-0.24,0.14,-0.14,-2.70,122.64
0.4408194,LeftFinger3Proximal,-0.21,0.74,0.04,0.02,-0.02,-0.27,0.23,-0.24,-3.04,11.33
0.4408194,LeftFinger3Medial,-0.18,0.71,0.04,0.03,-0.02,-0.29,0.28,-0.23,-3.29,44.23
