Timestamp,Joint,PosX,PosY,PosZ,VelX,VelY,VelZ,AccelX,AccelY,AccelZ,JointAngle
0,RightFinger1Metacarpal,0.76,1.40,0.01,37.84,69.80,0.38,1892.17,3489.98,18.96,0.00
0,RightFinger1Proximal,0.79,1.40,0.03,39.53,69.80,1.36,1976.71,3489.98,67.77,23.33
0,RightFinger1Distal,0.82,1.40,0.03,41.02,69.80,1.36,2050.81,3489.98,67.77,30.00
0,RightFinger1Tip,0.85,1.40,0.03,42.71,69.80,1.36,2135.46,3489.98,67.78,0.00
0,RightFinger2Metacarpal,0.76,1.40,0.00,38.12,69.80,-0.20,1906.16,3489.98,-10.16,161.23
0,RightFinger2Proximal,0.82,1.40,0.01,40.80,69.80,0.27,2039.89,3489.98,13.41,21.30
0,RightFinger2Medial,0.86,1.40,0.01,43.06,69.80,0.27,2152.76,3489.98,13.41,10.00
0,RightFinger2Distal,0.89,1.40,0.01,44.44,69.80,0.27,2222.20,3489.98,13.41,0.00
0,RightFinger2Tip,0.92,1.40,0.01,45.80,69.80,0.27,2290.25,3489.98,13.41,0.00
0,RightFinger3Metacarpal,0.76,1.40,-0.01,38.18,69.80,-0.73,1909.17,3489.98,-36.26,172.57
0,RightFinger3Proximal,0.82,1.40,-0.01,40.83,69.80,-0.73,2041.43,3489.98,-36.27,11.33
0,RightFinger3Medial,0.86,1.40,-0.01,43.15,69.80,-0.73,2157.30,3489.98,-36.27,0.03
0,RightFinger3Distal,0.89,1.40,-0.01,44.67,69.80,-0.73,2233.73,3489.98,-36.27,0.02
0,RightFinger3Tip,0.92,1.40,-0.01,46.15,69.80,-0.73,2307.64,3489.98,-36.27,0.00
0,RightFinger4Metacarpal,0.76,1.40,-0.03,38.17,69.80,-1.26,1908.56,3489.98,-63.19,176.14
0,RightFinger4Proximal,0.81,1.40,-0.03,40.67,69.80,-1.70,2033.30,3489.98,-85.19,2.47
0,RightFinger4Medial,0.86,1.40,-0.03,42.83,69.80,-1.70,2141.53,3489.98,-85.19,10.00
0,RightFinger4Distal,0.88,1.40,-0.03,44.23,69.80,-1.70,2211.33,3489.98,-85.19,0.00
0,RightFinger4Tip,0.91,1.40,-0.03,45.59,69.80,-1.70,2279.29,3489.98,-85.19,0.00
0,RightFinger5Metacarpal,0.76,1.40,-0.03,38.05,69.80,-1.73,1902.27,3489.98,-86.37,179.82
0,RightFinger5Proximal,0.81,1.40,-0.05,40.28,69.80,-2.54,2013.87,3489.98,-126.99,11.06
0,RightFinger5Medial,0.84,1.40,-0.05,42.03,69.80,-2.54,2101.44,3489.98,-126.99,20.00
0,RightFinger5Distal,0.86,1.40,-0.05,43.13,69.80,-2.54,2156.49,3489.98,-126.99,0.00
0,RightFinger5Tip,0.89,1.40,-0.05,44.25,69.80,-2.54,2212.56,3489.98,-126.99,0.00
0.02,RightFinger1Metacarpal,0.25,1.52,0.16,-25.20,6.42,7.81,-3151.98,-3169.05,371.72,0.00
0.02,RightFinger1Proximal,0.22,1.54,0.16,-28.55,7.36,6.44,-3404.40,-3122.21,254.26,57.58
0.02,RightFinger1Distal,0.21,1.57,0.15,-30.47,8.68,5.95,-3574.56,-3055.85,229.66,41.41
0.02,RightFinger1Tip,0.20,1.60,0.13,-32.65,10.16,5.28,-3767.98,-2982.03,195.97,4.06
0.02,RightFinger2Metacarpal,0.26,1.53,0.17,-25.37,6.85,8.86,-3174.64,-3147.34,453.31,160.72
0.02,RightFinger2Proximal,0.25,1.58,0.15,-28.29,9.18,7.01,-3454.51,-3031.07,337.12,16.78
0.02,RightFinger2Medial,0.21,1.58,0.16,-32.69,9.42,7.68,-3787.29,-3019.05,370.81,88.50
0.02,RightFinger2Distal,0.20,1.56,0.17,-34.68,8.32,8.29,-3956.26,-3073.76,401.19,62.76
0.02,RightFinger2Tip,0.20,1.54,0.18,-35.69,7.08,8.71,-4074.83,-3136.18,421.86,41.93
0.02,RightFinger3Metacarpal,0.26,1.54,0.18,-25.33,7.06,9.86,-3175.47,-3137.03,529.12,73.72
0.02,RightFinger3Proximal,0.25,1.59,0.17,-28.08,9.59,9.11,-3445.53,-3010.26,491.79,11.33
0.02,RightFinger3Medial,0.21,1.59,0.18,-32.64,9.71,9.67,-3789.50,-3004.30,520.00,88.79
0.02,RightFinger3Distal,0.20,1.56,0.19,-34.56,8.32,10.17,-3961.73,-3073.99,544.67,73.90
0.02,RightFinger3Tip,0.22,1.54,0.20,-35.20,7.14,10.48,-4067.77,-3132.98,560.07,49.34
0.02,RightFinger4Metacarpal,0.26,1.54,0.19,-25.20,7.20,10.90,-3168.78,-3129.94,608.37,58.07
0.02,RightFinger4Proximal,0.26,1.59,0.19,-27.80,9.73,11.28,-3423.33,-3003.42,648.95,3.38
0.02,RightFinger4Medial,0.21,1.59,0.20,-32.11,9.81,11.59,-3746.80,-2999.30,664.64,85.77
0.02,RightFinger4Distal,0.21,1.57,0.20,-33.83,8.48,11.85,-3902.76,-3065.85,677.84,77.12
0.02,RightFinger4Tip,0.22,1.54,0.20,-34.38,7.39,11.80,-3998.08,-3120.28,675.12,51.97
0.02,RightFinger5Metacarpal,0.26,1.54,0.20,-24.98,7.21,11.84,-3151.23,-3129.37,678.21,47.76
0.02,RightFinger5Proximal,0.26,1.59,0.21,-27.33,9.52,13.20,-3380.59,-3014.07,787.21,4.95
0.02,RightFinger5Medial,0.25,1.62,0.22,-29.58,11.12,13.71,-3580.38,-2933.93,812.50,13.93
0.02,RightFinger5Distal,0.24,1.64,0.23,-30.97,12.18,13.80,-3705.02,-2881.01,816.80,12.43
0.02,RightFinger5Tip,0.24,1.66,0.23,-32.40,13.26,13.88,-3832.36,-2827.21,821.10,0.42
0.3533334,RightFinger1Metacarpal,0.25,1.52,0.16,0.00,0.00,0.00,75.59,-19.26,-23.44,0.00
